31,Name,Part number,Drawing In Progress,File Sent  APPROVED!! (Ready To Manufacture),Link,Manufactured,Material,Mass,Vendor,Part Quantity,Order Quantity,Bought,Order Date,
52,Kraken X60 PowerPole Adapter Board,WCP-1380,,FALSE,,FALSE,- None -,0.044 lb,West Coast Products,7,,TRUE,,
218,"16t x 9mm Wide Double Flange Aluminum Pulley (GT2 3mm, 8mm SplineXS Bore) (WCP-1178)",WCP-1178,FALSE,TRUE,,FALSE,6061-T6 Aluminum,0.011 lb,,1,2,TRUE,1/29/25,
,12t HTD splinexs pulley,WCP-1017,FALSE,FALSE,,,,,,1,2,TRUE,1/29/25,
146,"14t Steel Spur Gear (20 DP, 8mm SplineXS Bore) (WCP-1013)",WCP-1013,FALSE,FALSE,,FALSE,- None -,0.065 lb,,1,2,TRUE,1/29/25,
50,"12t Steel Spur Gear (20 DP, 8mm SplineXS Bore) (WCP-1010)",WCP-1010,FALSE,FALSE,,FALSE,- None -,0.047 lb,,3,6,TRUE,1/29/25,
80,"Spur Gear (12T, 20DP, Kraken Pinion Motor, Steel)",WCP-1010,FALSE,FALSE,,FALSE,Steel,0.045 lb,VEX Robotics,1,2,TRUE,1/29/25,
262,"10t Steel Spur Gear (20 DP, 12t Center Distance, 8mm SplineXS Bore) (WCP-1008)",WCP-1008,FALSE,FALSE,,FALSE,- None -,0.039 lb,,1,2,TRUE,1/29/25,
181,"8t Steel Spur Gear (20 DP, 10t Center Distance, 8mm SplineXS Bore) (WCP-1006)",WCP-1006,FALSE,FALSE,,FALSE,- None -,0.019 lb,,1,2,TRUE,1/29/25,
248,"36t 9mm Wide 1/2"" Hex Bore Double Flange 5mm HTD Aluminum Pulley (217-3231)",WCP-0990,FALSE,FALSE,,FALSE,Aluminum - 6061,0.126 lb,VEX Robotics,2,4,TRUE,1/29/25,
154,"36t Aluminum Plate Sprocket (#35 Chain, SplineXL Bore) (WCP-0983)",WCP-0983,FALSE,FALSE,,FALSE,- None -,0.212 lb,,1,2,TRUE,1/29/25,
267,"30t Aluminum Plate Sprocket (#35 Chain, SplineXL Bore) (WCP-0982)",WCP-0982,FALSE,FALSE,,FALSE,- None -,0.138 lb,,1,2,TRUE,1/29/25,
179,"9t Steel Double Hub Sprocket (#35 Chain, 1/2"" Rounded Hex Bore) (WCP-0976)",WCP-0976,FALSE,FALSE,,FALSE,Steel,0.045 lb,,1,2,TRUE,1/29/25,
228,"36t Aluminum Plate Sprocket (#25 Chain, SplineXL Bore)",WCP-0966,FALSE,FALSE,,FALSE,- None -,0.055 lb,,2,4,TRUE,1/29/25,
161,"2"" 1/2"" Hex Acetal Spacer (217-3265)",WCP-0961,FALSE,FALSE,https://wcproducts.com/products/plastic-washers,FALSE,Acetal (Delrin),0.023 lb,,5,10,TRUE,,
83,"1/2"" LG 3/8"" Hex Acetal Spacer",WCP-0959,FALSE,FALSE,,FALSE,Acetal (Delrin),0.004 lb,,1,2,TRUE,1/29/25,
51,Kraken X60 Brushless Motor,WCP-0940,,FALSE,,FALSE,- None -,1.2 lb,West Coast Products,8,,TRUE,,
88,WCP Cam (217-3431),WCP-0882,FALSE,FALSE,,FALSE,Steel,0.039 lb,VEX Robotics,2,4,TRUE,1/29/25,
257,"1"" 1/2"" Hex Acetal Spacer (217-3263)",WCP-0791,FALSE,FALSE,https://wcproducts.com/products/plastic-washers,FALSE,Acetal (Delrin),0.012 lb,,4,8,TRUE,,
142,"1/2"" 1/2"" Hex Acetal Spacer (217-3261)",WCP-0790,FALSE,FALSE,https://wcproducts.com/products/plastic-washers,FALSE,Acetal (Delrin),0.006 lb,,4,8,TRUE,,
145,"1/4"" 1/2"" Hex Acetal Spacer (217-3259)",WCP-0789,FALSE,FALSE,https://wcproducts.com/products/plastic-washers,FALSE,Acetal (Delrin),0.003 lb,,11,22,TRUE,,
235,"1/8"" 1/2"" Hex Acetal Spacer (217-2758)",WCP-0788,FALSE,FALSE,https://wcproducts.com/products/plastic-washers,FALSE,Acetal (Delrin),0.001 lb,,8,16,TRUE,,
81,"1/2"" ThunderHex x 1-1/8"" OD (Flanged)",WCP-0785,FALSE,FALSE,,FALSE,217-4006,0.05 lb,Vex Robotics,4,8,TRUE,1/29/25,
141,Thunderhex ID 1.125 OD Flanged Bearing (217-4006),WCP-0785,FALSE,FALSE,,FALSE,thunderhex flanged,0.05 lb,VEX Robotics,8,16,TRUE,1/29/25,
29,".5"" Hex ID 1.125"" OD Flanged Bearing (217-2734)",WCP-0783,FALSE,FALSE,Ball Bearings,FALSE,0.5 hex x 1.125 flanged,0.052 lb,Vex Robotics,6,12,TRUE,,
178,".5"" Round ID 1.125"" OD Flanged Bearing (217-2731)",WCP-0781,FALSE,FALSE,,FALSE,0.5 x 1.125 flanged,0.058 lb,VEX Robotics,24,48,TRUE,1/29/25,
225,".375"" Round ID .875"" OD Flanged Bearing (217-2733)",WCP-0779,FALSE,FALSE,,FALSE,.375 x .875 flanged,0.031 lb,VEX Robotics,2,4,TRUE,1/29/25,
243,"34t 20dp Aluminum 1/2"" Hex Bore Gear (217-2706)",WCP-0708,FALSE,FALSE,,FALSE,Aluminum - 7075,0.079 lb,Vex Robotics,2,4,TRUE,1/29/25,
180,"30t 20dp Aluminum 1/2"" Hex Bore Gear (217-2705)",WCP-0706,FALSE,FALSE,,FALSE,Aluminum - 7075,0.06 lb,Vex Robotics,1,2,TRUE,1/29/25,
184,"28t 20dp Aluminum 1/2"" Hex Bore Gear (217-5467)",WCP-0705,FALSE,FALSE,,FALSE,Aluminum - 7075,0.063 lb,Vex Robotics,2,4,TRUE,1/29/25,
82,"Spur Gear (24T, 20DP, 1/2"" Hex Bore)",WCP-0703,FALSE,FALSE,,FALSE,Aluminum - 7075,0.043 lb,VEX Robotics,1,2,TRUE,1/29/25,
144,"24t 20dp Aluminum 1/2"" Hex Bore Gear (217-2704)",WCP-0703,FALSE,FALSE,,FALSE,Aluminum - 7075,0.041 lb,Vex Robotics,1,2,TRUE,1/29/25,
,95t 9mm WD 5mm HTD,WCP-0624,FALSE,FALSE,,,,,,1,2,TRUE,1/29/25,
252,65t 5mm Belt,WCP-0618,FALSE,FALSE,,FALSE,Timing Belt,0.034 lb,,2,4,TRUE,1/29/25,
253,65t 5mm Belt,WCP-0618,FALSE,FALSE,,FALSE,Timing Belt,0.034 lb,,2,4,TRUE,1/29/25,
231,"12t 1/2"" Rounded Hex Bore Hub 25 Chain Sprocket (WCP-0576)",WCP-0576,FALSE,FALSE,,FALSE,Steel,0.026 lb,,2,4,TRUE,1/29/25,
250,"18t 9mm Wide 1/2"" Hex Bore Double Flange 5mm HTD Aluminum Pulley (217-3225)",WCP-0563,FALSE,FALSE,,FALSE,Aluminum - 6061,0.035 lb,VEX Robotics,6,12,TRUE,1/29/25,
20,"1"" x 1"" Tube Plug .125"" Wall, #10-32 Tapped (WCP-0376)",WCP-0376,FALSE,FALSE,,FALSE,Aluminum - 6061,0.035 lb,West Coast Products,7,14,TRUE,1/29/25,
40,"1"" LG .196"" ID .375"" OD Aluminum Spacer",WCP-0204,FALSE,FALSE,,FALSE,Aluminum - 6061,0.008 lb,,18,36,TRUE,1/29/25,
49,"70t 20dp Aluminum 1/2"" Hex Bore Pocketed Gear (WCP-0144)",WCP-0144,FALSE,FALSE,,FALSE,Aluminum - 7075,0.141 lb,,1,2,TRUE,1/29/25,
84,"68t 20dp Aluminum 1/2"" Hex Bore Pocketed Gear (WCP-0143)",WCP-0143,FALSE,FALSE,,FALSE,Aluminum - 7075,0.129 lb,,1,2,TRUE,1/29/25,
233,"64t 20dp Aluminum 1/2"" Hex Bore Pocketed Gear (WCP-0122)",WCP-0122,FALSE,FALSE,,FALSE,Aluminum - 7075,0.117 lb,West Coast Products,1,2,TRUE,1/29/25,
100,"60t 20dp Aluminum 1/2"" Hex Bore Pocketed Gear (WCP-0121)",WCP-0121,FALSE,FALSE,,FALSE,Aluminum - 7075,0.106 lb,West Coast Products,2,4,TRUE,1/29/25,
203,"54t 20dp Aluminum 1/2"" Hex Bore Pocketed Gear (WCP-0120)",WCP-0120,FALSE,FALSE,,FALSE,Aluminum - 7075,0.09 lb,West Coast Products,1,2,TRUE,1/29/25,
202,"40t 20dp Aluminum 1/2"" Hex Bore Pocketed Gear (WCP-0116)",WCP-0116,FALSE,TRUE,,FALSE,Aluminum - 7075,0.058 lb,West Coast Products,1,2,TRUE,1/29/25,
55,Robot Radio (VH-109),VH-109 / WCP-1538,,FALSE,,FALSE,- None -,0.4 lb,West Coast Products,1,,TRUE,,
259,T81P-39 Bane Bot s,,FALSE,FALSE,https://banebots.com/banebots--3-7-8-x-0-8-hub-mount-40a-orange/,FALSE,- None -,0.219 lb,,4,,TRUE,,
151,#10-32 Shaft End Screw (REV-21-2056),REV-21-2056-PK10,FALSE,FALSE,#10-32 Shaft End Screws,FALSE,Hardened Alloy Steel,0.007 lb,,1,,FALSE,,
24,40A ATO Auto-Resetting Breaker,REV-11-1863,,FALSE,,FALSE,- None -,0.01 lb,REV Robotics,20,,TRUE,,
23,Power Distribution Hub (PDH),REV-11-1850,,FALSE,,FALSE,- None -,1.14 lb,REV Robotics,1,,TRUE,,
115,Shaft BARB,gavin,FALSE,FALSE,,FALSE,Aluminum - 7075,0.036 lb,,1,,FALSE,1/29/25,
78,"Tube 1""x1""x14.554""",David,FALSE,FALSE,,FALSE,6061-T6,0.21 lb,,1,,FALSE,1/29/25,
105,Front Cover,CAMERA,FALSE,TRUE,,FALSE,3D Printed ONYX,0.151 lb,,1,,FALSE,,
27,Robot Signal Light (RSL),am-3583,,FALSE,,FALSE,- None -,0.108 lb,AndyMark,1,,TRUE,,
59,roboRIO 2.0,am-3000a,,FALSE,,FALSE,- None -,0.728 lb,AndyMark,1,,TRUE,,
44,Viair 90C Compressor,am-2005,FALSE,FALSE,"Viair 90C Air Compressor - AndyMark, Inc",FALSE,- None -,2.4 lb,,1,,FALSE,,
37,Anderson SB50 Connector,am-0546,,FALSE,,FALSE,Polycarbonate,0.052 lb,AndyMark,1,,TRUE,,
28,120A Main Breaker,am-0282,,FALSE,,FALSE,- None -,0.24 lb,AndyMark,1,,TRUE,,
210,Socket button head cap screw 1/4-20 x 2.5,97763A350,FALSE,FALSE,18-8 Stainless Steel Button Head Hex Drive Screws,FALSE,Stainless Steel,0.038 lb,,8,,FALSE,,
94,Socket button head cap screw 1/4-20 x 1.5,97763A348,FALSE,FALSE,"18-8 Stainless Steel Button Head Hex Drive Screws, Black-Oxide, 1/4""-20 Thread Size, 1-1/2"" Long | McMaster-Carr",FALSE,Stainless Steel,0.024 lb,,8,,FALSE,,
101,Socket button head cap screw 1/4-20 x 1.25,97763A347,FALSE,FALSE,"18-8 Stainless Steel Button Head Hex Drive Screws, Black-Oxide, 1/4""-20 Thread Size, 1-1/4"" Long | McMaster-Carr",FALSE,Stainless Steel,0.021 lb,,4,,FALSE,,
91,Socket button head cap screw #10-32 x 1,97763A342,FALSE,FALSE,"18-8 Stainless Steel Button Head Hex Drive Screws, Black-Oxide, 10-32 Thread Size, 1"" Long | McMaster-Carr",FALSE,Stainless Steel,0.01 lb,,12,,FALSE,,
99,Socket button head cap screw #10-32 x 0.75,97763A341,FALSE,FALSE,"18-8 Stainless Steel Button Head Hex Drive Screws, Black-Oxide, 10-32 Thread Size, 3/4"" Long | McMaster-Carr",FALSE,Stainless Steel,0.008 lb,,7,,FALSE,,
150,Socket button head cap screw 1/4-20 x 0.625,97763A264,FALSE,FALSE,"18-8 Stainless Steel Button Head Hex Drive Screws, Black-Oxide, 1/4""-20 Thread Size, 5/8"" Long | McMaster-Carr",FALSE,Stainless Steel,0.012 lb,,4,,FALSE,,
149,Socket button head cap screw 1/4-20 x 0.375,97763A262,FALSE,FALSE,"18-8 Stainless Steel Button Head Hex Drive Screws, Black-Oxide, 1/4""-20 Thread Size, 3/8"" Long | McMaster-Carr",FALSE,Stainless Steel,0.009 lb,,8,,FALSE,,
90,Socket button head cap screw #10-32 x 1.25,97763A233,FALSE,FALSE,"18-8 Stainless Steel Button Head Hex Drive Screws, Black-Oxide, 10-32 Thread, 1-1/4"" Long | McMaster-Carr",FALSE,Stainless Steel,0.012 lb,,3,7,FALSE,,
152,Socket button head cap screw #10-32 x 1.25,97763A233,TRUE,FALSE,"18-8 Stainless Steel Button Head Hex Drive Screws, Black-Oxide, 10-32 Thread, 1-1/4"" Long | McMaster-Carr",FALSE,Stainless Steel,0.012 lb,,4,Duplicate,FALSE,,
21,Socket button head cap screw #10-32 x 0.5,97763A232,FALSE,FALSE,"18-8 Stainless Steel Button Head Hex Drive Screws, Black-Oxide, 10-32 Thread Size, 1/2"" Long | McMaster-Carr",FALSE,Stainless Steel,0.006 lb,,71,,FALSE,,
104,Socket button head cap screw #10-32 x 0.375,97763A231,FALSE,FALSE,"18-8 Stainless Steel Button Head Hex Drive Screws, Black-Oxide, 10-32 Thread Size, 3/8"" Long | McMaster-Carr",FALSE,Stainless Steel,0.005 lb,,2,6,FALSE,,
223,Socket button head cap screw #10-32 x 0.375,97763A231,FALSE,FALSE,https://www.mcmaster.com/97763A231/,FALSE,Stainless Steel 18-8,0.005 lb,,4,Duplicate,FALSE,,
85,"1/2"" Snap Ring (97633A200)",97633A200,FALSE,FALSE,"External Retaining Ring, for 1/2"" OD, Black-Phosphate 1060-1090 Spring Steel | McMaster-Carr",FALSE,Steel 4130,0.001 lb,,22,,FALSE,,
41,Rivet (.125-.25 Grip Range) White,97526A140,FALSE,FALSE,https://www.mcmaster.com/97526a140/,FALSE,Aluminum - 6061,0.001 lb,,82,,FALSE,,
42,Rivet  Black,97526A140,FALSE,FALSE,https://www.mcmaster.com/97526a140/,FALSE,Aluminum - 6061,0.002 lb,,64,,FALSE,,
269,Type A flat washer 1/4,96659A106,FALSE,FALSE,18-8 Stainless Steel SAE Washer,FALSE,Stainless Steel,0.006 lb,,2,,FALSE,,
176,hex_.5_13_1.25,95462A033,FALSE,FALSE,Medium-Strength Steel Hex Nut,FALSE,Carbon Steel,0.116 lb,,1,,FALSE,,
221,94615A117_Brass Flanged Screw-to-Expand Inserts,94615A117,FALSE,FALSE,Brass Flanged Screw-to-Expand Inserts for Plastic,FALSE,Brass,0.009 lb,,2,,FALSE,,
220,94615A115_Brass Flanged Screw-to-Expand Inserts,94615A115,FALSE,FALSE,Brass Flanged Screw-to-Expand Inserts for Plastic,FALSE,Brass,0.003 lb,,4,,FALSE,,Grabbing Already Made Snapring
227,94328A962_Black Oxide Alloy Steel Low-Profile Shoulder Screw,94328A962,FALSE,FALSE,Black Oxide Alloy Steel Low-Profile Shoulder Screw,FALSE,Steel,0.031 lb,,2,,FALSE,,
60,94290A571_Tube-Connecting Nut,94290A571,FALSE,FALSE,"Tube-Connecting Nut, for 1.12"" to 1.15"" Tube ID, 1/4""-20 Thread Size | McMaster-Carr",FALSE,Steel,0.02 lb,,4,,FALSE,,
162,Flanged Socket button head cap screw #10-32 x 0.25,91355A171,FALSE,FALSE,https://www.mcmaster.com/91355A171/,FALSE,Stainless Steel,0.003 lb,,2,,FALSE,,
273,91355A171_Black-Oxide Alloy Steel Flanged Button Head Screw,91355A171,FALSE,FALSE,https://www.mcmaster.com/91355A171/,FALSE,Steel,0.003 lb,,44,,FALSE,,
95,Socket button head cap screw #10-32 x 2.25,91255A815,FALSE,FALSE,"Button Head Hex Drive Screw, Black-Oxide Alloy Steel, 10-32 Thread, 2-1/4"" Long | McMaster-Carr",FALSE,Stainless Steel,0.02 lb,,4,5,FALSE,,
116,Socket button head cap screw #10-32 x 2.25,91255A815,FALSE,FALSE,"Button Head Hex Drive Screw, Black-Oxide Alloy Steel, 10-32 Thread, 2-1/4"" Long | McMaster-Carr",FALSE,Steel Class 8.8,0.02 lb,,1,Duplicate,FALSE,,
53,Socket button head cap screw 1/4-20 x 0.5,91255A537,FALSE,FALSE,"Button Head Hex Drive Screw, Black-Oxide Alloy Steel, 1/4""-20 Thread, 1/2"" Long | McMaster-Carr",FALSE,Stainless Steel,0.01 lb,,16,28,FALSE,,
148,Socket button head cap screw 1/4-20 x 0.5,91255A537,FALSE,FALSE,"Button Head Hex Drive Screw, Black-Oxide Alloy Steel, 1/4""-20 Thread, 1/2"" Long | McMaster-Carr",FALSE,Stainless Steel,0.01 lb,,12,Duplicate,FALSE,,
160,Socket button head cap screw 1/4-20 x 3.5,91255A531,FALSE,FALSE,"Button Head Hex Drive Screw, Black-Oxide Alloy Steel, 1/4""-20 Thread, 3-1/2"" Long | McMaster-Carr",FALSE,Stainless Steel,0.051 lb,,4,,FALSE,,
107,Socket button head cap screw #10-32 x 2,91255A278,FALSE,FALSE,"Button Head Hex Drive Screw, Black-Oxide Alloy Steel, 10-32 Thread, 2"" Long | McMaster-Carr",FALSE,Stainless Steel,0.018 lb,,8,,FALSE,,
